question,choices,answer
"Bill picks from an apple tree in southern Michigan , where is he most likely to be ?",detroit|maryland|oregon|washington state|indiana,detroit
"James was n't a repair person , but even he knew that he did n't need a freon coin in a what ?",refrigerator|tub|television|circuit|slinky,television
what might someone feel after hurting someone else ?,empowering|luck|regret|punishment|despair,regret
What might a teacher do most during a week ?,demonstrate|eat lunch|time test|work in school|school children,work in school
Where might I find pens with a company logo ?,office|on a pencil|write sentences on paper|school|backpack,office
What is the world full of ?,countries|thought|water|universe|galaxy,countries
Finding information in an old library requires what in a card catalog ?,chewing|searching for|ask questions|logic|time,searching for
Gary bought stock in a fortune 500 company before going off to the tournament . He also bought a new what ?,fishing rod|machine gun|hatred|artillery|double in value,fishing rod
Fencing is a sport in which participants use a what ?,sword|competition|fence post|protection|dexterity,sword
What does one watch garbage reality shows on ?,trashcan|floor|toronto|television|microwave,television
Where might you find a computer user that is visiting a foreign city and did n't bring their own computer along ?,school|hell|internet cafe|office building|despair,internet cafe
Where can you keep a fire extinguisher in the house if it 's really big ?,school bus|car|garage|stairwell|hospital,garage
Why would you be unable to use a basketball ?,full of air|punctured|popular in america|round|not tall,punctured
Where would an automobile drive in order to get somewhere quicker ?,side of road|parking garage|street|garage|fast lane,fast lane
"The college student much preferred reading during her free time , her roommates on the other hand preferred what ?",watching tv|listening|sleeping|illiterate|illiteracy,watching tv
Where do you find wild cats ?,trouble|dog 's mouth|nature|floor|warm place,nature
What does a child have to do in order to officially become a student ?,read a book|drop out of school|wash dishes|enter school|study book,enter school
Where would you only need a shopping bag if you did not finish what you got there ?,mart|restaurant|relative 's home|supermarket|grocery store,restaurant
What is killing usually thought of as ?,funeral|horrible|remorse|premeditated|going to jail,horrible
What might someone get from learning about science ?,headache|see things differently|increased knowledge|accidents|appreciation of nature,increased knowledge
The introduction of industry greatly expanded human what ?,big city|factory|machinery|poverty|civilization,civilization
"The cat saw animal control approaching her , what did she decide to do ?",sleep all day|cast shadow|run away|bark like a dog|see at night,run away
How bad is the punishment for someone who is over indulgent ?,severe|harsh|hard|strict|self denying,severe
Where would you bring some towels other than to a shower ?,swimming pool|hotel|beach|motel|stored on towel rack,swimming pool
What do people do if they are near the sea ?,write stories|talk to each other|go fishing|die of starvation|eat fish,eat fish
Where might an army captain be found ?,airplane cabin|basketball team|military|battleship|fleet,military
What happens to people in horror movies who die ?,killed in war|murdered|not important|sentenced to jail|cremated,murdered
"The man loved his cheese , especially old ones that what ?",age well|eat cake|benign bacteria|age to get better|salad dressing,age well
He did n't have a clean plate so he ate the meal in a what ?,saucer|fork|cup|bowl|food,bowl
Eating breakfast of garlic might lead to some what ?,tasty|bad breath|dirty dishes|better day|gain energy,bad breath
The mountain was one of many that surrounded the what below ?,plains|create climbing challenge|molehill|field|dale,dale
"The class was billed as a way to improve yourself , the instructor told everybody to close their eyes and what ?",meditate|celebrate|plot the teacher 's destruction|eat better|feel better about yourself,meditate
A hinged door is not always found in which room of the house ?,jamb|own house|building|kitchen|washing machine,kitchen
In what location would a blowfish be most happy ?,palm tree|books|fish market|coral reef|aquarium,coral reef
Where would footprints be left on a man made item ?,roof|carpet|ground|surface of earth|rug,rug
What can a country do when it has jealousy but a person can not do ?,hug|wage war|compete|judge|love else,wage war
What would attending school help with ?,dropping out|getting paid|catch cold|graduate|employability,employability
What place has tens of milliions of back garden ?,england|suburban neighborhood|house|city|land,england
"The children thought it was a good movie , they began to play they were in the movie and what they were the characters ?",cry|go to movie|pretend|stand in line|wait in line,pretend
What grows from all mammal skin ?,fur|nipples|hair|fur|spinal cord,fur
When people get together for a potluck what do they do ?,share food|cook food|believe in god|demand justice|talk to each other,share food
"The investor had promised profit , but he had been what ?",losing money|lost|losses|expense|lose money,losing money
A person does n't have to keep going to school to what ?,continue learning|talk to himself|cast shadow|go broke|cross street,continue learning
What kind of class uses a triangle ?,mathematics|geometry|math class|math book|university,geometry
How does a person go to space ?,building|space shuttle|car|fairy tale|street corner,space shuttle
If you listen to someone what skill do you have ?,able to hear|very quiet|pay attention|shut up|hatred,able to hear
The product was not meant to be sold . What was it for ?,shelf|cost one dollar|breaking|demonstration|store,demonstration
Where would you expect to find a hospital ?,every state|military base|doctor|detroit|most cities,most cities
When not in your home country you are ?,foreign|in space|tent|work|outside,foreign
Where can the children leave their bicycles ?,street|netherlands|behind|university|schoolyard,schoolyard
What is a computer unable to do ?,process information|cast shadow|crash|make decisions|become sensible,become sensible
"I wanted to stand up , what would I use to do this ?",feet|balance|effort|hands|courage,feet
Where would you put a teaspoon if you are not using it ?,in mouth|eating|kitchen drawer|cup of coffee|coffee cup,kitchen drawer
If you want to set a romantic atmosphere you might light a candle where ?,dimly lit room|synagogue|bedroom|birthday cake|roses,bedroom
"If you were looking for a grape , where is one place where you probably would n't find one ?",kitchen|plate|field|winery|fruit stand,field
"She caught the first snowflake of her life on her tongue , she was naively excited to be spending a what in a region that actually had snow ?",cloud|december|air|africa|winter,winter
Where is a good place for a window in a house ?,restroom|building|wall|classroom|space shuttle,wall
"Working in the vegetable garden everyday is good for you , you get to spend time where ?",backyard|outside|amusement park|eating|back yard,outside
"The bus stop implemented a size restriction for luggage , where was the bus stop going ?",boarding bus|city|fast|urban area|airport,airport
What causes someone to laugh from something surprising ?,fight|accidents|bad news|funny|frightened,funny
"He retired from his command after twenty years , he was proud that he chose to what but was ready to retire ?",obey|comply|serve|follow|ask,serve
"When someone is seeing new things in a positive environment , what do they feel ?",fear|curiosity|wonder|anger|excitement,excitement
Where is an empty dish usually stored ?,resturant|pantry|table|kitchen cabinet|glass,kitchen cabinet
What might two people have before returning to work ?,anxiety|earn money|conversation|depression|fight,conversation
James bought a hide bed sofa because it was space efficient . Where might he live ?,house|apartment|village|beach condo|hotel,apartment
Where is a bicycle likely to be safe ?,garage|sidewalk|schoolyard|toy store|street,garage
What is a fun way for children to be learning about science ?,time|frustration|become educated|experiment|excitement,experiment
"Sarah was watching a film , but she missed the middle . She closed her eyes in the beginning and when she opened them the credits were rolling . What did she do ?",entertainment|die|crying|falling asleep|masturbate,falling asleep
"When one is using computers for a long period of time , what might happen to the human body ?",headache|addiction|editing|falling asleep|carpal tunnel syndrome,headache
What is likely to have an enclosed shelf ?,cabinet|a mortuary|bookstore|school building|bedroom,cabinet
What are dark clouds likely to do ?,cloud vision|weather|awe inspiring|bring rain|rain water,bring rain
"Even if was clean and chlorinated , shallow water would n't make for much summer fun in your backyard what ?",lake|childrens pools|pond|swimming pool|puddle,swimming pool
What is a privilege to being an adult ?,dress herself|marry|drink beer|work|drive train,drink beer
Where is the closest sofa located that is n't in your own residence ?,neighbor 's house|person 's living room|livingroom|white house|home,neighbor's house
The video game featured an anger bar that you charged up to more easily do what ?,illustrate point|destroy enemy|cool off|write letter|get drunk,destroy enemy
What is likely the result of falling from a height ?,pain|broken bones|going down|diving|injuries,broken bones
The city was very bright this time of year . There was a much smaller population where ?,suburbs|town|wilderness|outside|countryside,countryside
where do you typically buy apples ?,farmers market|table|grocery store|apple tree|fridge,grocery store
What method does someone use to get the best price when buying products ?,bankruptcy|loss of money|comparison shopping|overstocking|play games,comparison shopping
Where is a knight likely to be a hero ?,historical novel|castle|chess set|renaissance festival|middle ages,historical novel
What can steel be used to build ?,house|tall building|buildings|bridge|automobile factory,tall building
Evening comes after what ?,sunset|daytime|dawn|night|early morning,daytime
If you stretch out your socks they will then have what kind of fit ?,cramped|loose|contract|park|compressing,loose
When meeting a friend what are you likely to do over coffee ?,talk|excitement|joy|abuse|panic,talk
Where was he one speaker of many ?,drive in movie|shelf|conference|lecture hall|demonstration,conference
"The child could n't lift the box of lead , it was what ?",toxic|light|isolated from sulphide pbs|very heavy|very dense,very heavy
I pay someone in a ticket booth for tickets to `` The Greatest Showman . '' Where am I likely to be ?,sports arena|auditorium|opera|movie theatre|metro station,movie theatre
What would you be doing if you are bringing suit against someone ?,swimming|going to court|ruling|randomness|laughter,going to court
What do you take fish off of when fishing ?,end of line|ocean|pet shop|boat|pond,end of line
Why does a lizard lay on a rock in the sun ?,west texas|arid regions|to get a sexy tan|warm place|new mexico,warm place
If you poke yourself with sharp knitting needle what will you start doing ?,have fun|relaxation|bleeding|cooking|carpal tunnel syndrome,bleeding
"Billy 's boss told him to get a book from a high shelf , so he took a stepladder from what ?",store room|tool shed|hardware store|construction worker 's vehicle|library,store room
What is the benefit of ships if there is no bridge available ?,collide|carry people|cross river|sailors|bottom out,cross river
Where would you find a playroom with very young children just starting their education ?,preschool|playground|big house|building|grandma 's house,preschool
Where can you find someone 's number written on paper ?,math book|mathematics|office|lottery|phonebook,phonebook
Where could you learn about someone 's paper ?,cabinet|conference|front door|garden|suitcase,conference
What is water rapids that are choppy considered ?,blue|dangerous|surface of earth|shaky|important,dangerous
What does a building have if it does not have solidity ?,instability|hollowness|weakness|instability|openness,weakness
Man probably invented sports because of its instinctual need to be what ?,recreational|competitive|good looking|fun|violent,competitive
What might one use to figure out the best route for travelling ?,atlas|post office|map|get to specific place|phone,map
If there is a source of light behind a tree what would expect to happen ?,provide shelter|cast shadow|branch out|block wind|fall down,cast shadow
The child was scorned for scratching the plate with his what ?,cup|spoon|fork|saucer|bowl,fork
Where might I hear and see information on current events ?,internet|television|newspaper|book|radio,television
"It is a teachers job to help students commit to memory new skills , what is the teachers main job in the classroom to help students do ?",make tape|memorize|never forget|concentrate|learn,learn
Contemplating a concept can lead to what ?,revelations|action|understanding|discovery|wisdom,understanding
What does playing guitar cause a person to do ?,singing|listening to music|arthritis|making music|write a song,making music
"The realtor had a hard time selling the houses , he always had to explain that the former tenant used to shoot what in them ?",pornography|park|very large|foundation|walls,pornography
Where could you find only a few place to stay ?,phone book|town|mexico|a holiday|city,town
"If you find a bone wrapped in clothe , where are you ?",tomb|museum|arm|human body|hospital,tomb
"If you lock your knees while standing in line , what may you experience ?",boredom|order|main|fainting|agitation,fainting
"On a family vacation , where might I visit near the shore to look for crab ?",cooking pot|beach sand|tidepools|chesapeake bay|fish market,tidepools
"If I am a spectator at a trade show , what am I likely watching ?",sporting event|racing|demonstration|show|watch event,demonstration
They party animals starting drinking in the evening and were n't done until when ?,afternoon|dusk|daytime|night|dawn,dawn
"Getting up early was new for her , she needed some drops to clear up her what ?",restlessness|starting early|tiredness|feeling tired|bloodshot eyes,bloodshot eyes
"When people look to store their plastic cutlery , what do they use ?",cupboard|everything|own home|clothes closet|store,cupboard
"There were many features displayed , but most were where for the one particular gallery ?",large city|art museum|london|france|new york city,art museum
A person who is successful at bringing people to the table probably makes what ?,delicious food|compliments|acquire wealth|bread|self esteem,delicious food
Where do you get a new shopping bag ?,garage|retail store|storage cabinet|supermarket|car trunk,retail store
Where do you throw a ball down the lane ?,city|basketball court|rural countryside|highway|bowling alley,bowling alley
Where would excitement not be allowed ?,hockey game|boxing match|library|car show|dance,library
Female ants do n't have wings and can only get around by doing what ?,crawl|follow one another|running|circle food|fly,crawl
Where would you store a book that you 're taking with you on vacation ?,classroom|briefcase|suitcase|book store|synagogue,suitcase
The cowboy was having fun atop the bull even though it was a what ?,manual|wild ride|need for rest|playing marbles|hug,wild ride
Disney has an entire ride dedicated to getting what to the world ?,satisfaction|fun|wanting more|joy|new realization,joy
Where on the upper body do people want to remove hair ?,arm|mammals|person 's head|mammoth trunk|sink,arm
"The animals were not thirsty , so what did they do when they were by the river ?",feel pain|fly|pass water|die of cancer|feel pleasure,pass water
"The children were going to play , the parents encouraged it hoping it resulted in what ?",being entertained|spending money|intermission|weight loss|sleepiness,sleepiness
A person who fears A.I . has a main fear that man will lose the ability to what ?,go on vacation|work|cross street|control computer|separate things,control computer
Where should you be careful of bees after drinking cider ?,sky|field of flowers|beehive|orchard|countryside,orchard
"Sally thought that the people she hired were entertaining , but that was what she expected . After all , it was what they were what ?",making friends|fatigue|envy|getting paid for|appreciate more,getting paid for
"John was a servant , but he was paid for his work . What was he ?",in charge|boss|free person|queen|lord,free person
"His long walk home was n't over , he lived on the tenth storey of a walk up what ?",skyscraper|book of stories|tall building|apartment building|mall,apartment building
Where is confetti thrown from the rooftops ?,big cities|new year 's eve|air|shredder|streets,big cities
Dan thought that he was bad . But hid Queen disagreed . She knighted him . She thought he was what ?,exceptional|upright|choice|sufficient|worthy,worthy
"There was an attendant at the door to keep light from coming in during the show , it was a big premiere night at the what ?",theater|building|office|neighbor 's house|funeral,theater
What do you use a clock for ?,eat food .|tell time|wind down|stop working|working correctly,tell time
Sean stared at his door all night . He was scared that he might see it doing what ?,wall|window|opening|closet|exit,opening
"When there are group projects , how do people normally work on them ?",believe in god|work in teams|kiss each other|receive gifts|argue,work in teams
Where would you find a welcome mat in a house ?,floors|desert|school|doorway|bathroom,doorway
Procreating is n't the only consequence of sex . What is even more common than kids ?,twins|children born|venereal disease|used condoms|pregnancy,venereal disease
Where might one find a bench of people sitting before they are taken away ?,car stand|bus stop|state park|bus depot|rest area,bus stop
"He was trying to buy a new mattress , he wanted something soft yet what ?",hexachord|loud|hard|harsh|firm,firm
Sam did n't care about what company he kept on Christmas . He just did n't want to be what ?,you|alone|solitude|he want to marry|loneliness,alone
If you want to buy you must what ?,spend money|go shopping|paying|have in mind|a shop,spend money
Where can many merchants have their stores under one roof ?,supermarket|store|mall|market|shopping center,mall
Where is a copy machine likely to be ?,barn|office|assembly line|museum|kitchen,office
What will happen if you get warm too much ?,feelin guilty|sleep|sweating|feel more comfortable|cuddle,sweating
What do you to learn new things as a kid ?,ask questions|fun|study|driving|go to school,go to school
"A skateboard can have a steep learning curve , but once the basics are mastered you can what ?",relax|teenager|freedom|have fun|give up,have fun
Where can you can enjoy music in public ?,theatre|elevator|opera|cassettes|store,theatre
"James wanted to add space for an extra guest , so he bought a hide bed sofa . With that he 'd be able to have two people stay over , one in the guest room , and one on the sofa . Where might he have been ?",hotel|guest room|office|apartment|house,house
"The crab was feeling cold in the water , where was he stuck ?",gulf of mexico|fridge freezer|fish market|grocery store|north sea,north sea
Where would you get sports equipment if you do not have any ?,sporting goods store|sears|pool|sporting event|school,sporting goods store
What is everyones goal for having sex long ?,sell beer|wonderful thing|herpes|cost money|last hour,last hour
"A human is hitch hiking near Hoboken , where is he ?",new jersey|homes|department store|near italy|new orleans,new jersey
Where do people drive on the left on a motorway ?,england|europe|new jersey|city|a river,england
In what region is a centavo uses ?,colon|austral|cordoba|indian|mexican peso,austral
Where might you go to buy silk ?,expensive clothing|garments|chinatown|downtown|nightgown,chinatown
"Sally did n't know what she planned to do . She was going to remodel her front garden , but she could n't because of zoning rules . Such was the perils of living where ?",outside of house|urban area|town hall|front yard|michigan,urban area
"Billy thought that there was n't any point to hunting foxes . Besides , it was too dry to find many . Where might he have been ?",hen house|florida|new hampshire|north dakota|arkansas,arkansas
"His favorite general store had most things , and if it did n't it was conveniently located with other shops in the what ?",shopping mall|barn|salt|old west|checkers,shopping mall
Where would the reception desk be located in a hotel ?,lobby|seated restaurant|office park|building|motel,lobby
Sarah was not a little girl anymore . She learned the hard way when buying new clothes . What size might she have worn ?,large|big|see work|lot of|bog,large
"The plant suffered in the shade , where did it need to be planted instead ?",brightness|sunny delight|direct sunlight|bright light|tanning,direct sunlight
Where would using a boat require navigation skills ?,boattail|river|indiana|garage|ocean,ocean
"The man needed a toothbrush and some food , where did he go ?",drug store|mouth|dentist office|he went to the attic|grocery store,grocery store
Janet likes dancing . The swaying and the music gives her a feeling of what ?,rhythmic movement|moving body|euphoria|sore feet|fatigue,euphoria
What is the purpose of a box in a supermarket ?,hold stuff|store food|organize|hold things|store clothes,store food
What kind of structure are in if there is a large chandelier in the foyer ?,from the ceiling|building|apartment|mansion|spacious house,mansion
"James wanted a hot tub just like the one at the spa he visited , but he did n't want anyone to know about it . He was afraid that if the neighbors knew , they 'd all want to use it , and it would turn his house into what ?",country club|health centre|hospital|backyard|resort,country club
They pulled off to the shoulder of the winding mountain what ?,torso|garment|cello|road|body,road
Where in your shirt can you keep your plane ticket ?,terrorists hands|pocket|airport|back pocket|briefcase,pocket
Where do people look at pictures with a story ?,medium|art show|newspaper|suitcase|books,books
James put a blanket on the floor to cover the burn marks . Where might he have gotten the blanket from ?,synagogue|table|carpet|general store|bed,bed
Sarah thought that buying beer with a fake idea was a good idea . She just wanted to enjoy herself . But it turned to be anything but . What did it turn out to be ?,a smart decision|spend money|get arrested|stupidity|have fun,stupidity
In a company a chief oversees what people ?,aquarium|peon|indian|employee|follower,employee
"She was giggling and flirting , his mustache elicited what for her ?",joyfulness|smile|getting excited|enthusiasm|sexual attraction,sexual attraction
"If I want to do a math problem in a proper way , what should I check for ?",books|incomplete|incorrect|impolite|inappropriate,incorrect
How does a meteor travel around galactic objects ?,sky|outerspace|universe|in a vacuum|orbit,orbit
"The story was interesting , the character grew to become a baby boy after starting out a what ?",old person|learn to speak|old man|adult|died,old man
Bob was tossed from his boat in the pacific ocean near the United States . He sees a shore to the east and swims toward it . Where is he most likely swimming to ?,seaside town|florida|ocean|picture of sea side|california,california
"It was something that had weighed on him his whole life , finally discovering truth was a what ?",relief|satisfaction|hurt|happiness|conclusion,relief
Where is an apple tree likely found in abundance ?,south pole|park|vineyard|farmland|orchid,farmland
Inside what would a listener most likely hear a new student trying a clarinet ?,clarinet case|jazz band|spongebob|music store|orchestra,music store
The projector displayed slides on the wall as the presenter talked to the audience . Billy wished he did n't come to this event . Where was he ?,movies|meeting|conference|theatre|show films,conference
The person changed because what demanded it ?,stagnation|tradition|paper money|wife|unpleasant,tradition
A wind from the east is often referred to as a what kind of wind ?,north|westward|western|westerly|eastside,westerly
The helm is the steering control of what powered leisure vessel ?,motorboat|south tyrol|tugboat|brig|sailing vessel,motorboat
What do you need to have before you can begin reading ?,concentrating|written material|acculturation|memory|concentration,written material
What should you reply to if you get it while at work ?,email|mute|fax|send|answer,email
After the sun has risen what happens at the end of the day ?,deep dive|fall|lower|below|sun set,sun set
What would a bee like as a gift ?,bouquet of flowers|trash can|pizza|sky|united states,bouquet of flowers
What does a person who is considered good known for ?,compliments|green thumb|ride horses|contribution to society|wear outrageous clothing,contribution to society
A retired person may have to return to work if they what ?,have debt|earn money|leave work|need money|key,need money
Where would you find the nearest attic ?,victorian style house|basement|older houses|own home|victorian house,own home
"The great general had suffered his first defeat , it now seemed there was truly nobody his opponent could n't what ?",win at jenga|victory|lose|winning|conquer,conquer
Where could you find a monkey in the wild ?,friend 's house|research laboratory|french government|beach|madagascar,madagascar
Where would the steakhouse include a view of a Great Lake ?,michigan|florida|kansas city|maine|georgia,michigan
"John bought a small butane stove . He knew that he could n't use it inside because of the fumes , but he could use it outside . What structure would John most likely use the stove outside of ?",community kitchen|the post office|apartment|friend 's house|tent,tent
"She got home and needed to put away her shirts , where did she put them ?",buttons|suitcase|washing machine|sporting goods store|closet,closet
Sarah felt bad about their odds . Billy disagreed with her . What did he think about their odds ?,first rate|adequate|good|propitious|sufficient,propitious
"It was the first time they had met their new niece , it was good to have everybody together at the annual what ?",brother 's house|family picture book|family tree|family reunion|book,family reunion
Why would someone be listening ?,empathy|thirsty|hear things|knowlege|learning,hear things
"The dental office handled a lot of patients who experienced traumatic mouth injury , where were these patients coming from ?",town|michigan|office building|schools|hospital,hospital
The upright piano helped what get a better sound ?,music show|music room|house|band|college,band
"A shark is n't something you have to worry about at the lake in the woods , but there are plenty of dangers in the what ?",great oceans|great outdoors|tropical waters|pacific ocean|gulf of mexico,great outdoors
Where would you find pamphlets when they 're delivered to your home ?,drawer|health department|library|mail box|on the floor,mail box
You can find a clothing store often at what outdoor collection of merchants ?,ohio|buying clothing|park|strip mall|city or town,strip mall
Where are you likely to find a cubicle for many corporations ?,office building|work|bank|office work|restroom,office building
Where did people used to go so they could watch a movie in their home ?,show|vcr|( vcr and plane are in the above answers twice )|television|video store,video store
If a train is behind schedule what is it likely to do ?,arrive late|slow down|make up time|arrive early|arrive on time,arrive late
"A person fear failure , what does he thing will happen ?",visit relatives|scared|doctor himself|thank god|amount to nothing,amount to nothing
"The man became more efficient at his work , he learned shortcuts to copy and what ?",soft copy|paste|unique|ocean|creation,paste
What does one do at an office ?,work|school building|workplace|skyscraper|public building,work
"Much like a jaunt on the treadmill , thinking hard and long can cause what ?",depression|revelation|new thought|fatigue|knowledge,fatigue
Birds do what by laying eggs ?,air|pick berries|sky|breathe|reproduce,reproduce
What would I do if I was being attacked ?,stay alive|get rid of|attacked|defend yourself|fall down,defend yourself
Where can you spend the night on the ground floor when you 're away from home ?,brownstone|highrise building|hotel|subway|office building,hotel
"The person was bad , but everything he said was what ?",just|sufficient|true|badarse|prime,true
Where is it likely to find a beach towel ?,backpack|beach|swimming pool|locker room|at hotel,swimming pool
"They began to copulate , someone used spit to what ?",lubricate|mark territory|kiss|procreation|release tension,lubricate
What will happen after answering questions incorrectly ?,children will learn|correct|embarassment|teaching|better grade,embarassment
Where would you find many computers in a group of work spaces ?,office building|canteen|backpack|house|box,office building
How do birds have babies ?,sing songs|sleep together|lay eggs|spread wings|reproduce,lay eggs
Where would you put a rubber stamp after using it ?,desk|art class|office|table|indiana,desk
"The potato wants to grow , where should it be placed ?",pantry|paper bag|underground|boiling water|drawer,underground
Their union had settled and they would go off strike and what ?,demands were met|complaints had been addressed|be satisfied|get back to work|more money,get back to work
What is needed mentally to ready one 's self to begin detailed work ?,concentrate|shoes|apply for job|shave|shower,concentrate
Where do kids go that does not involve water or buying something ?,swimming pool|airport|amusement park|disneyland|toy store,disneyland
"John bought a ferret at a pet shop . He could n't take it on the bus , so he called something else . What might he have called ?",cousin 's house|taxi cab|own home|friend|wood pile,taxi cab
What do you need to do with a friend before going to play ?,happy|sit|compete|meet|being entertained,meet
If you 're going on vacation on a deserted island what are you hoping to achieve ?,panic|having fun|relaxation|solitude|peace,peace
"I needed to send a piece of mail , where did I go ?",table|post office|neighbor 's house|railway station|fridge,post office
What is a way that people who are dating great each other ?,smack face|believe in god|work in teams|kiss each other|receive gifts,kiss each other
What country would you not find a marmoset in the continent south of North America ?,another place|venezuela|alabama|rainforest|foreign country,venezuela
The teacher has activity planned the students probably wo n't enjoy -- - what was it ?,work in school|school children|teach pupils|time test|demonstrate,time test
"If you were to take Communion on a Sunday morning , what you expect the glass on the walls to be ?",many different colors|hold water|break easily|dirty|shattering,many different colors
"Sally went to her office , which was on the 8th and top floor . Where does she probably work ?",skyscraper|tall building|public building|school building|swimming pool,tall building
What does a couple do at the end of the sleighing ride ?,decline|going down hill|nausea|death|kissing,kissing
What does breathing do for living things ?,asthma attacks|satisfies hunger|sustaining life|warm air|giving life,sustaining life
What is the opposite of something being liken to something else ?,discern|distinguish|metaphor|discriminate|contrast,contrast
Where could you hear an organ being played ?,system|veterinarian|human body|cathedral|music store,cathedral
If a person is supported by those closest to them what do they have ?,support group|get enough sleep|nice family|strong bones|compliments,nice family
Food is usually stored on what in your pantry ?,bottom floor|shop|kitchen|shelf|refrigerators,shelf
When can a person 's death not be wanted by the person ?,cyanide|love|burial|suicide|murder,murder
"The child wanted his cereal bowl and knew he could reach it , where would he find it ?",breakfast food|china shop|kitchen cabinet|refrigerator|cupboard,kitchen cabinet
"James used an axe and a saw to chop wood , shape it , and make a shelter . He kept adding wood to it , building it bigger and bigger , until it became a what ?",shelterbelt|tree|house|home|bus stop,house
What do you use when chatting with friends that are n't in the same place together ?,phone|computer|having friends|smoke|printer,phone
One thing that you need to do when opening a business is to secure lots of ?,funding|capital|determination|llamas|creativity,funding
What are armies having to do when the countries are waging war ?,suffering|killing people|death and destruction|people die|crying,killing people
What is a good thing about playing football ?,head injuries|having fun|death|concussions|getting hurt,having fun
"In America , what is the nortern-most country where an apple tree can grow ?",fields|brazil|canada|spring|outside,canada
Being able to forgive is a way to be what ?,learn|give hug|happiness|nice to|sex,nice to
Sam spent time chatting with friends about important things because he wanted to get what ?,love|happiness|answers|communication|money,answers
What part of us is virginia in ?,north|minnesota|united states|south|virginias,south
Where do kids gather in the entrance hall at the request of teachers ?,house|person|palace|school|hospital,school
If someone is committing perjury and it leads to convictions what has been committed ?,go to jail|falsehoods|mistrial|injustices|criminal prosecution,injustices
What happens when you cash in ?,happiness|sell stock|celebrate|withdraw|get money,get money
"If you are playing poker , what are you doing ?",recreation|losing money|game playing|distributing cards|fun,game playing
"They saw a fox at the park , they tried to get their phones out quickly to get a what ?",outside|hen house|indiana|picture|phone numbers,picture
"The poet wanted to promote his new literature to literary majors , where did he go to do so ?",classroom|book store|university|study|home,university
"He was hiking for miles , what did he suffer from ?",sweating|cramps|physical exertion|smile|deliriousness,cramps
Where is refuse stored for a long time ?,incinerator|wastebasket|waste basket|dump|garbage can,dump
The woman spent her evenings working hard for herself . What did she do with her tasks ?,headache|popularity|take rest|accomplish goals|get laid,accomplish goals
If someone were to gain a lot of fat their doctor will likely tell them to do what ?,lose weight|loosing|loosing|loss|reduce,lose weight
Where would you write down a passage ?,labyrinth|bible|hotel|diary|journal,diary
Where can you find many musician with people listening to them ?,studio|music store|stage|symphony|orchestra,orchestra
Billy found himself agreeing with Dan . They knew each other since childhood . They did n't need what to make an agreement ?,contract|friendship|harmony|compliance|death threats,contract
"Danny was a human . He needed to catch a flight , but stayed to long in an object made for humans to relax in . Where might he have been ?",bathroom|couch|airport|homes|bed,bed
What do we do if we rise something and want to put it back down ?,fall|sun set|below|lower|place,lower
"The fight enemy choice had led him to a grave injury , he was now what ?",dying|victory|casualties|protect yourself|death,dying
"The teacher 's pet loved answering questions , each correct answer brought her more what than the last ?",hate|confusion|satisfaction|teaching|panic,satisfaction
"The person was sick of the cold rain , what did he long for ?",peace|drink water|all kinds of things|compliments|sunny days,sunny days
"His hotel had a view of a famous mountain , he sampled chocolates , and did more during his visit where ?",himalayas|pennsylvania|switzerland|picture|canada,switzerland
"Where could you find a long , dark passageway ?",cave|hotel|bathroom|airport|house,cave
Where are magazines usually old ?,library|market|doctor|table|library,doctor
George hated changes to his salary . He wanted his supply of money to be what ?,remain stable|stagnant|constant|unpleasant|permanent,constant
Where do you send mail over a counter ?,post office|candy store|butcher shop|animals|kitchen,post office
James bought a new monitor and unpacked it . He discarded the packaging materials and connected it . What did he connect it to ?,internet cafe|display images|box|view bluescreen|desktop,desktop
People use a knife to clean their catch on what vessel ?,table|kitchen drawer|fishing boat|pocket|board,fishing boat
"The pioneer went to the general store for baking supplies , what was he looking for ?",baking soda|barrels|pepper|salt|small town,baking soda
He wore out his dictionary as he worked on his what ?,determine word 's definition|thesaurus|eat cake|novel|encyclopedia,novel
What happens to a person falling ?,make person sick|pain|broken bones|going down|getting hurt,going down
"Sean wanted to go to the Met , so he took a subway stop in what city ?",new york city|toronto|large city|large city|metropolis,new york city
What do adults do at a cookout with friends ?,dress themselves|drive vehicle|drink beer|play games|smoke cigarettes,drink beer
"George was away from home for the first time . He did n't have any place to go , so I offered to let him do what ?",relax here|stay here|come here|closer|available,stay here
If you 're suffering from boredom what can you do on your mobile phone ?,talk to it|surf net|play cards|play chess|see new,surf net
"If disneyland were to be built in California , why would planners choose that state ?",sea|windowsill|disneyland|desert|summer,disneyland
"If a person is shy , what do they feel when meeting people for the first time ?",anxiety|stress|being bored|smile|making new friends,stress
What might be a reaction if I were to start communicating to others ?,engagement|people to think|exchanging ideas|distributed information|sharing of knowledge,people to think
What happens to the temperature if you turn up the thermostat ?,drop to zero|drop rapidly|gets colder|increase|heat up,increase
Jane 's baking oven was broken and she was afraid to use it . She did n't want to burn what ?,pizza parlor|store|house|pie shop|stove,house
"Some kids are shy in school , so taking a shower where can be intimidating ?",bath room|motel room|pool|locker room|at hotel,locker room
John would do anything because he did n't care . He would do what ?,fall down|surprise|matter to|whatever|run,whatever
Where would you get an action figure if you do not have one ?,eat cake|little boy 's toy box|theater|bathtub|toy store,toy store
"He was studying anatomy , he knew that the main artery in his neck provided blood to his what ?",own brain|busy city|thruway|hand|neck,own brain
